date,activity_id,activity,mason,helper,barbender,carpenter,machinery,cement_bags,steel_kg,sand_cum,aggregate_cum,bricks_nos,paint_litre
2026-01-05,A01,Site clearance & layout,0,4,0,0,Total Station,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,A01,Site clearance & layout,0,4,0,0,Total Station,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,A02,Excavation for foundation,0,10,0,0,JCB Excavator,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,A02,Excavation for foundation,0,10,0,0,JCB Excavator,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,A02,Excavation for foundation,0,10,0,0,JCB Excavator,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-10,A02,Excavation for foundation,0,10,0,0,JCB Excavator,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,A02,Excavation for foundation,0,10,0,0,JCB Excavator,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,A02,Excavation for foundation,0,10,0,0,JCB Excavator,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,A02,Excavation for foundation,0,10,0,0,JCB Excavator,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,A02,Excavation for foundation,0,10,0,0,JCB Excavator,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,A02,Excavation for foundation,0,10,0,0,JCB Excavator,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-17,A02,Excavation for foundation,0,10,0,0,JCB Excavator,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,A02,Excavation for foundation,0,10,0,0,JCB Excavator,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,A02,Excavation for foundation,0,10,0,0,JCB Excavator,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,A03,PCC bed for footings,2,6,0,0,Concrete Mixer,32.4,513.0,2.43,4.86,0.0,0.0
2026-01-22,A03,PCC bed for footings,2,6,0,0,Concrete Mixer,32.4,513.0,2.43,4.86,0.0,0.0
2026-01-23,A03,PCC bed for footings,2,6,0,0,Concrete Mixer,32.4,513.0,2.43,4.86,0.0,0.0
2026-01-24,A03,PCC bed for footings,2,6,0,0,Concrete Mixer,32.4,513.0,2.43,4.86,0.0,0.0
2026-01-26,A04,Footing reinforcement & shuttering,3,5,5,4,Bar Bending Machine,28.8,456.0,2.16,4.32,0.0,0.0
2026-01-27,A04,Footing reinforcement & shuttering,3,5,5,4,Bar Bending Machine,28.8,456.0,2.16,4.32,0.0,0.0
2026-01-28,A04,Footing reinforcement & shuttering,3,5,5,4,Bar Bending Machine,28.8,456.0,2.16,4.32,0.0,0.0
2026-01-29,A04,Footing reinforcement & shuttering,3,5,5,4,Bar Bending Machine,28.8,456.0,2.16,4.32,0.0,0.0
2026-01-30,A04,Footing reinforcement & shuttering,3,5,5,4,Bar Bending Machine,28.8,456.0,2.16,4.32,0.0,0.0
2026-01-31,A04,Footing reinforcement & shuttering,3,5,5,4,Bar Bending Machine,28.8,456.0,2.16,4.32,0.0,0.0
2026-02-02,A04,Footing reinforcement & shuttering,3,5,5,4,Bar Bending Machine,28.8,456.0,2.16,4.32,0.0,0.0
2026-02-03,A04,Footing reinforcement & shuttering,3,5,5,4,Bar Bending Machine,28.8,456.0,2.16,4.32,0.0,0.0
2026-02-04,A05,Footing concreting,2,8,0,0,"Concrete Mixer, Vibrator",46.1,729.6,3.46,6.91,0.0,0.0
