project_id,planned_duration_days,num_floors,monsoon_exposure_days,labour_availability_pct,material_delay_risk,contractor_experience_years,site_accessibility_score,design_change_frequency,funding_regularity_score,permit_delay_days,delay_occurred,delay_days
P001,192,3,51,68.7,Low,11,8,1,6,1,1,29
P002,383,4,1,76.4,Low,22,9,2,3,43,0,0
P003,144,4,51,75.5,Medium,21,9,0,9,13,1,23
P004,354,1,25,85.5,Low,7,8,0,4,39,0,0
P005,91,4,5,85.9,Low,18,2,3,9,39,0,0
P006,302,1,15,85.2,Medium,13,9,1,7,8,1,49
P007,225,5,23,93.2,Medium,10,7,4,3,43,1,47
P008,124,2,0,85.9,Medium,5,7,3,3,31,1,17
P009,141,5,31,72.6,Medium,15,4,5,6,27,1,35
P010,133,5,19,83.2,Medium,7,1,2,9,2,1,13
P011,226,2,36,68.8,Low,22,8,4,3,36,1,32
P012,170,4,58,82.7,Low,5,1,3,7,10,1,38
P013,344,5,37,98.8,Medium,11,1,1,3,19,1,39
P014,236,2,19,69.3,Medium,7,2,3,3,6,1,49
P015,201,3,56,61.5,High,12,5,3,4,23,1,48
P016,250,2,23,89.8,Medium,16,9,1,2,34,1,46
P017,258,3,35,70.3,Low,20,8,4,6,21,1,29
P018,127,5,37,92.5,Medium,2,5,3,3,3,1,12
P019,138,3,16,81.9,Low,6,3,3,1,20,1,14
P020,250,2,2,84.6,High,3,8,0,6,22,0,0
P021,216,2,26,69.7,Medium,9,6,1,3,24,1,29
P022,125,3,44,75.3,High,15,2,0,9,21,1,26
P023,394,3,51,58.1,Medium,12,5,2,7,39,1,104
P024,358,1,49,57.7,Medium,19,7,1,5,0,1,44
P025,90,5,46,85.8,Medium,8,5,3,7,2,1,8
P026,233,5,50,79.2,Low,16,5,1,7,9,1,56
P027,189,1,33,82.0,Medium,13,4,7,1,42,1,64
P028,154,2,32,68.3,Low,12,2,0,3,22,1,16
P029,353,2,28,74.9,Low,21,2,4,5,8,1,57
P030,316,1,48,74.6,Low,24,7,5,1,19,1,68
P031,276,4,18,85.9,High,19,5,0,9,20,1,44
