activity_id,activity,category,quantity,unit,duration_days,start_date,end_date,mason,helper,barbender,carpenter,machinery
A01,Site clearance & layout,Preliminary,216.0,sqm,2,2026-01-05,2026-01-06,0,4,0,0,Total Station
A02,Excavation for foundation,Earthwork,168.0,cum,12,2026-01-07,2026-01-20,0,10,0,0,JCB Excavator
A03,PCC bed for footings,Substructure,21.6,cum,4,2026-01-21,2026-01-24,2,6,0,0,Concrete Mixer
A04,Footing reinforcement & shuttering,Substructure,38.4,cum,8,2026-01-26,2026-02-03,3,5,5,4,Bar Bending Machine
A05,Footing concreting,Substructure,38.4,cum,5,2026-02-04,2026-02-09,2,8,0,0,"Concrete Mixer, Vibrator"
A06,Column footing pedestal,Substructure,9.6,cum,4,2026-02-09,2026-02-12,2,4,2,2,Concrete Mixer
A07,Backfilling & consolidation,Earthwork,96.0,cum,6,2026-02-12,2026-02-18,0,8,0,0,Plate Compactor
A08,Plinth beam reinforcement & shuttering,Superstructure (RCC),14.2,cum,5,2026-02-19,2026-02-24,2,4,3,3,Bar Bending Machine
A09,Plinth beam concreting,Superstructure (RCC),14.2,cum,3,2026-02-25,2026-02-27,2,6,0,0,"Concrete Mixer, Vibrator"
A10,Plinth masonry,Masonry,22.5,cum,8,2026-02-28,2026-03-09,4,6,0,0,-
A11,DPC laying,Substructure,62.0,sqm,3,2026-03-10,2026-03-12,2,3,0,0,-
A12,Ground floor columns,Superstructure (RCC),21.6,cum,6,2026-03-12,2026-03-18,3,5,4,4,Bar Bending Machine
A13,Ground floor beams & slab shuttering,Superstructure (RCC),30.3,cum,11,2026-03-19,2026-03-31,3,6,4,5,Tower Hoist
A14,Ground floor beam & slab concreting,Superstructure (RCC),30.3,cum,5,2026-03-31,2026-04-04,3,10,0,0,"Concrete Mixer, Vibrator, Hoist"
A15,Ground floor masonry,Masonry,76.5,cum,18,2026-04-04,2026-04-24,5,7,0,0,-
A16,First floor columns,Superstructure (RCC),21.6,cum,6,2026-04-08,2026-04-14,3,5,4,4,Bar Bending Machine
A17,First floor beams & slab shuttering,Superstructure (RCC),30.3,cum,11,2026-04-15,2026-04-27,3,6,4,5,Tower Hoist
A18,First floor beam & slab concreting,Superstructure (RCC),30.3,cum,5,2026-04-27,2026-05-01,3,10,0,0,"Concrete Mixer, Vibrator, Hoist"
A19,First floor masonry,Masonry,76.5,cum,18,2026-05-01,2026-05-21,5,7,0,0,-
A20,Second floor columns,Superstructure (RCC),21.6,cum,6,2026-05-05,2026-05-11,3,5,4,4,Bar Bending Machine
A21,Second floor beams & slab shuttering,Superstructure (RCC),30.5,cum,11,2026-05-12,2026-05-23,3,6,4,5,Tower Hoist
A22,Second floor beam & slab concreting,Superstructure (RCC),30.5,cum,5,2026-05-23,2026-05-28,3,10,0,0,"Concrete Mixer, Vibrator, Hoist"
A23,Second floor masonry incl. partitions,Masonry,76.5,cum,18,2026-05-28,2026-06-17,5,7,0,0,-
A24,Staircase construction,Superstructure (RCC),12.4,cum,8,2026-05-01,2026-05-09,2,4,2,2,-
A25,Internal plastering,Finishing,1450.0,sqm,31,2026-06-18,2026-07-23,8,8,0,0,-
A26,External plastering,Finishing,620.0,sqm,18,2026-06-18,2026-07-08,5,6,0,0,Scaffolding
A27,Ceiling plastering,Finishing,540.0,sqm,17,2026-06-23,2026-07-11,5,5,0,0,-
A28,Terrace waterproofing,Waterproofing,180.0,sqm,9,2026-06-18,2026-06-27,3,4,0,0,-
A29,Flooring - vitrified/ceramic/granite,Finishing,608.0,sqm,21,2026-07-11,2026-08-04,6,6,0,0,-
A30,Doors & windows fixing,Doors & Windows,60.0,nos,12,2026-07-04,2026-07-17,3,3,0,3,-
A31,Electrical first fix (conduiting),Electrical,168.0,point,17,2026-05-01,2026-05-20,0,0,0,0,-
A32,Plumbing first fix,Plumbing,42.0,point,9,2026-05-01,2026-05-11,0,0,0,0,-
A33,Internal painting,Painting,1450.0,sqm,35,2026-07-29,2026-09-07,6,5,0,0,-
A34,External painting,Painting,620.0,sqm,20,2026-07-29,2026-08-20,5,5,0,0,Scaffolding
A35,Electrical second fix & fittings,Electrical,168.0,point,12,2026-07-29,2026-08-11,0,0,0,0,-
A36,Plumbing second fix & sanitary fittings,Plumbing,48.0,point,8,2026-07-29,2026-08-06,0,0,0,0,-
A37,Overhead tank construction,Plumbing,1.0,nos,10,2026-06-18,2026-06-29,2,3,2,1,-
A38,MS railing installation,Miscellaneous,58.0,rm,8,2026-07-29,2026-08-06,2,2,0,0,Welding Machine
A39,Compound wall & gate,Miscellaneous,60.0,rm,10,2026-06-18,2026-06-29,3,4,0,0,-
A40,Site development & handover cleaning,Miscellaneous,60.0,sqm,3,2026-08-20,2026-08-22,0,5,0,0,-
