week_label,week_start,week_end,material_cost,labour_cost,machinery_cost,total_cost,cumulative_cost,cumulative_pct
2026-01-04/2026-01-10,2026-01-05,2026-01-10,0.0,19310.0,12996.0,32308.0,32308.0,0.5
2026-01-11/2026-01-17,2026-01-12,2026-01-17,0.0,24138.0,12996.0,37134.0,69442.0,1.0
2026-01-18/2026-01-24,2026-01-19,2026-01-24,151040.0,22406.0,12996.0,186442.0,255884.0,3.6
2026-01-25/2026-01-31,2026-01-26,2026-01-31,201384.0,52734.0,12996.0,267120.0,523004.0,7.3
2026-02-01/2026-02-07,2026-02-02,2026-02-07,281972.0,35158.0,12996.0,330124.0,853128.0,11.9
2026-02-08/2026-02-14,2026-02-09,2026-02-14,120839.0,34104.0,17328.0,172274.0,1025402.0,14.3
2026-02-15/2026-02-21,2026-02-16,2026-02-21,66114.0,28041.0,12996.0,107151.0,1132553.0,15.8
2026-02-22/2026-02-28,2026-02-23,2026-02-28,163897.0,27792.0,10830.0,202519.0,1335072.0,18.7
2026-03-01/2026-03-07,2026-03-02,2026-03-07,58110.0,28596.0,0.0,86706.0,1421778.0,19.9
2026-03-08/2026-03-14,2026-03-09,2026-03-14,526960.0,36611.0,6498.0,570069.0,1991847.0,27.9
2026-03-15/2026-03-21,2026-03-16,2026-03-21,147819.0,52269.0,12996.0,213084.0,2204931.0,30.8
2026-03-22/2026-03-28,2026-03-23,2026-03-28,128154.0,55146.0,12996.0,196296.0,2401227.0,33.6
2026-03-29/2026-04-04,2026-03-30,2026-04-04,292304.0,53073.0,15162.0,360544.0,2761771.0,38.6
2026-04-05/2026-04-11,2026-04-06,2026-04-11,199472.0,67464.0,8664.0,275600.0,3037371.0,42.5
2026-04-12/2026-04-18,2026-04-13,2026-04-18,229080.0,87764.0,12996.0,329840.0,3367211.0,47.1
2026-04-19/2026-04-25,2026-04-20,2026-04-25,201334.0,83926.0,12996.0,298256.0,3665467.0,51.3
2026-04-26/2026-05-02,2026-04-27,2026-05-02,309647.0,59664.0,12996.0,382312.0,4047779.0,56.6
2026-05-03/2026-05-09,2026-05-04,2026-05-09,299584.0,105774.0,10830.0,416188.0,4463967.0,62.4
2026-05-10/2026-05-16,2026-05-11,2026-05-16,223235.0,88723.0,12996.0,324954.0,4788921.0,67.0
2026-05-17/2026-05-23,2026-05-18,2026-05-23,234841.0,83957.0,15162.0,333961.0,5122882.0,71.6
2026-05-24/2026-05-30,2026-05-25,2026-05-30,233072.0,40416.0,8664.0,282156.0,5405038.0,75.6
2026-05-31/2026-06-06,2026-06-01,2026-06-06,87816.0,34536.0,0.0,122352.0,5527390.0,77.3
2026-06-07/2026-06-13,2026-06-08,2026-06-13,87816.0,34536.0,0.0,122352.0,5649742.0,79.0
2026-06-14/2026-06-20,2026-06-15,2026-06-20,69312.0,89499.0,6498.0,165306.0,5815048.0,81.3
2026-06-21/2026-06-27,2026-06-22,2026-06-27,63253.0,169222.0,12996.0,245460.0,6060508.0,84.7
2026-06-28/2026-07-04,2026-06-29,2026-07-04,53262.0,121443.0,12996.0,187689.0,6248197.0,87.4
2026-07-05/2026-07-11,2026-07-06,2026-07-11,47419.0,127106.0,6498.0,181011.0,6429208.0,89.9
2026-07-12/2026-07-18,2026-07-13,2026-07-18,35730.0,106400.0,0.0,142124.0,6571332.0,91.9
2026-07-19/2026-07-25,2026-07-20,2026-07-25,28364.0,67344.0,0.0,95704.0,6667036.0,93.2
2026-07-26/2026-08-01,2026-07-27,2026-08-01,19696.0,85544.0,17328.0,122564.0,6789600.0,94.9
2026-08-02/2026-08-08,2026-08-03,2026-08-08,13640.0,82760.0,21660.0,118054.0,6907654.0,96.6
2026-08-09/2026-08-15,2026-08-10,2026-08-15,9096.0,62952.0,12996.0,85038.0,6992692.0,97.8
2026-08-16/2026-08-22,2026-08-17,2026-08-22,7798.0,59084.0,8664.0,75542.0,7068234.0,98.8
2026-08-23/2026-08-29,2026-08-24,2026-08-29,5202.0,33240.0,0.0,38442.0,7106676.0,99.4
2026-08-30/2026-09-05,2026-08-31,2026-09-05,5202.0,33240.0,0.0,38442.0,7145118.0,99.9
2026-09-06/2026-09-12,2026-09-07,2026-09-07,867.0,5540.0,0.0,6407.0,7151525.0,100.0
